nombre|carrera|plan|materia|periodo_dictado|nombre_materia|obligatoria|anio_de_cursada|
Diplomatura Universitaria "Diseño de Experiencias Digitales"|214|2017|0222||Accesibilidad WEB|S||
Diplomatura Universitaria "Diseño de Experiencias Digitales"|214|2017|0227||Usabilidad y Experiencia Digital|S||
Diplomatura Universitaria "Diseño de Experiencias Digitales"|214|2017|0231||Tecnologías WEB|S||
Diplomatura Universitaria "Diseño de Experiencias Digitales"|214|2017|0232||Ergonomía|S||
Diplomatura Universitaria "Diseño de Experiencias Digitales"|214|2017|0233||Fundamentos de Psicología Cognitiva Aplicadas a TIC´s|S||
Diplomatura Universitaria "Diseño de Experiencias Digitales"|214|2017|0234||Arquitectura de la Información|S||
Diplomatura Universitaria "Diseño de Experiencias Digitales"|214|2017|0235||Heurística y Test de Usuarios|S||
Diplomatura Universitaria "Diseño de Experiencias Digitales"|214|2017|0236||Gestión de Proyectos de Diseño|S||
Diplomatura Universitaria en Gestión y Administración de Redes|215|2018|1277|1° cuatrimestre|Diseño de Redes Hogareñas|S||
Diplomatura Universitaria en Gestión y Administración de Redes|215|2018|1278|1° cuatrimestre|Plataforma de Hardware|S||
Diplomatura Universitaria en Gestión y Administración de Redes|215|2018|1279|1° cuatrimestre|Taller de Linux y Diagnóstico de Hardware|S||
Diplomatura Universitaria en Gestión y Administración de Redes|215|2018|1280|2° cuatrimestre|Diseño de Redes de Oficina|S||
Diplomatura Universitaria en Gestión y Administración de Redes|215|2018|1281|2° cuatrimestre|Plataforma de Operación|S||
Diplomatura Universitaria en Gestión y Administración de Redes|215|2018|1282|1° cuatrimestre|Diseño de Redes Corporativas|S||
Diplomatura Universitaria en Gestión y Administración de Redes|215|2018|1283|1° cuatrimestre|Plataforma de Virtualización|S||
Ingeniería de Sistemas|206|1988|0040||Inglés I|S|1|
Ingeniería de Sistemas|206|1988|0041||Inglés II|S|3|
Ingeniería de Sistemas|206|1988|0205||Proyecto Final|S|5|
Ingeniería de Sistemas|206|1988|0500||Análisis Matemático I|S|1|
Ingeniería de Sistemas|206|1988|0501||Física I y Trabajos de Laboratorio|S|1|
Ingeniería de Sistemas|206|1988|0502||Computación I|S|1|
Ingeniería de Sistemas|206|1988|0503|1º cuatrimestre|Lógica|S|1|
