id|carrera|plan|fecha_ingreso|calidad|localidad_nacimiento|colegio_secundario|titulo_secundario
2704|206|S95|12/04/2002|P|MAR DEL PLATA|COLEGIO EL TRANSITO|TÉCNICO ELECTRONICO|
2714|206|S95|15/04/2002|P|Ciudad Autónoma de Buenos Aires|ESCUELA NACIONAL NORMAL SUPERIOR GENERAL MANUEL BELGRANO|TÉCNICO EN COMPUTACION|
2721|204|2003|22/04/2002|P|TANDIL|MONS. AMERICO ORZALI|TÉCNICO QUIMICO|
2724|206|S95|22/04/2002|E||PROFESOR JAVIER FROILAN FERRERO|BACHILLER CON ESPECIALIZACION EN CIENCIAS BIOLOGICAS|
2733|206|S95|23/04/2002|E|MAR DEL PLATA|PROFESOR JAVIER FROILAN FERRERO|Bachiller Modalidad Economía y Gestión de las Organizaciones|
2748|206|S95|24/04/2002|E|MAR DEL PLATA|INSTITUTO PERALTA RAMOS|Bachiller Modalidad Ciencias Naturales|
2754|206|S95|24/04/2002|P|MAR DEL PLATA|SANTO TOMAS DE AQUINO|BACHILLER CON ORIENTACION SOCIAL|
2793|206|S95|26/04/2002|P|OLAVARRIA|ESCUELA DE COMERCIO LIBERTADOR GRAL. SAN MARTIN|TÉCNICO|
2798|206|S95|26/04/2002|A|TANDIL|MONS. AMERICO ORZALI|TÉCNICO|
2801|206|S95|26/04/2002|P|LIBERTADOR GENERAL SAN MARTIN|ESCUELA DE COMERCIO LIBERTADOR GRAL. SAN MARTIN|TÉCNICO EN COMPUTACION|
2805|206|S95|26/04/2002|P|NEUQUEN|21 DE JULIO|TÉCNICO EN ENERGIA|
2823|206|S95|29/04/2002|P|MAR DEL PLATA|ESCUELA NACIONAL NORMAL SUPERIOR GENERAL MANUEL BELGRANO|TÉCNICO EN COMPUTACION|
2845|206|S95|30/04/2002|P|VIEDMA|4.117  EJERCITO DE LOS ANDES||
2852|206|S95|30/04/2002|A|TANDIL|MONS. AMERICO ORZALI|TÉCNICO EN COMPUTACION|
2858|206|S95|15/04/2002|E|GENERAL MADARIAGA|ACADEMIA IRIS|TÉCNICO ELECTRONICO|
2858|212|2007|26/03/2010|P|GENERAL MADARIAGA|ACADEMIA IRIS|TÉCNICO ELECTRONICO|
2863|206|S95|15/04/2002|P|TANDIL|MONS. AMERICO ORZALI|TÉCNICO EN COMPUTACION|
2874|206|S95|15/04/2002|P|BENITO JUAREZ|MONS. AMERICO ORZALI|TÉCNICO EN COMPUTACION|
2879|206|S95|15/04/2002|P|SAN CARLOS DE BARILOCHE|COLEGIO NACIONAL PROFESOR FROILAN FERRERO|BACHILLER CON ORIENTACION EN ECONOMIA Y GESTION DE LAS ORG.|
2928|206|S95|17/04/2002|P|TRES ARROYOS|PROVINCIAL Nº 4|BACHILLER CON ORIENTACION AGROPECUARIA|
2932|206|S95|18/04/2002|N|TANDIL|COLEGIO SECUNDARIO CAPITAN DE FRAGATA CARLOS MARIA MOYANO|BACHILLER CON ORIENTACION EN ECONOMIA Y GESTION DE LAS ORG.|
2955|206|S95|18/04/2002|P|TANDIL|PBRO. FRANCISCO PEREZ HERNANDEZ|BACHILLER|
2963|206|S95|24/04/2002|P|BARILOCHE|ESCUELA AGROTECNICA EJERCITO ARGENTINO |BACHILLER MERCANTIL|
2967|206|S95|24/04/2002|P|TRES ARROYOS|AGROTECNICA GONZALO A. DOBLAS|BACHILLER CON ORIENTACION EN ECONOMIA Y GESTION DE LAS ORG.|
2977|206|S95|30/04/2002|P|BENITO JUAREZ|COLEGIO NACIONAL GENERAL DON TORIBIO DE LUZURIAGA||
3002|206|S95|27/04/2002|P|NECOCHEA|JUAN PABLO II|BACHILLER CON ORIENTACION EN CIENCIAS SOCIALES|
13|206|1988|01/04/1981|P||||
41|206|1988|01/04/1983|P||||
34|206|1988|01/04/1983|E|TANDIL|||
29|206|1988|01/04/1983|E|TANDIL|||
33|206|1988|01/04/1983|P|BAHIA BLANCA|||
27|207|1997|01/04/1983|N||||
27|208|2010|25/04/2013|P||||
51|206|1988|01/04/1984|P|NECOCHEA|ANGEL DOMINGO ROJAS|BACHILLER COMUN|
55|206|1988|01/04/1984|N|ROSARIO|||
55|201|1999|29/03/2000|N|ROSARIO|||
60|206|1988|01/04/1984|E||||
65|206|1988|01/04/1984|P||||
78|206|1988|01/04/1985|P||||
85|206|1988|01/04/1985|E|COLONIA BARON|||
135|206|1988|01/04/1986|P|RAUCH|AGROINDUSTRIAL MONSEÑOR DR. JUAN ANTONIO VIDELA CUELLO|BACHILLER|
143|206|1988|01/04/1986|E|REMEDIOS DE ESCALADA|||
166|206|1988|01/04/1986|E||||
136|206|1988|01/04/1986|E|PERGAMINO||PERITO MERCANTIL|
120|206|1988|01/04/1986|E|TANDIL|||
141|206|1988|01/04/1986|P||||
229|206|1988|01/04/1987|E|MAR DEL PLATA|||
219|206|1988|01/04/1987|P||||
224|206|1988|01/04/1987|P||||
179|206|1988|01/04/1987|P|AZUL|ESCUELA TECNICA Nº 2 VICENTE PEREDA|TECNICO EN EQUIPOS E INSTALACIONES ELECTROMECANICAS|
179|213|2014|13/04/2015|P|AZUL|ESCUELA TECNICA Nº 2 VICENTE PEREDA|TECNICO EN EQUIPOS E INSTALACIONES ELECTROMECANICAS|
220|206|1988|01/04/1987|E|PLAZA HUINCUL|||
314|206|1988|01/04/1988|E||||
303|206|1988|01/04/1988|E||||
258|206|1988|01/04/1988|E|TRES ARROYOS|||
299|206|1988|01/04/1988|E||||
287|206|1988|01/04/1988|E|RAUCH|||
260|206|1988|01/04/1988|E|TRES ARROYOS|||
254|206|1988|01/04/1988|P|SAN ISIDRO|||
341|206|1988|01/04/1988|E||||
352|206|1988|01/04/1989|P||||
396|206|1988|01/04/1989|E|BALCARCE|||
420|206|1988|01/04/1989|E||||
361|206|1988|01/04/1989|N||||
401|206|S95|01/04/1989|P|LAS FLORES|||
351|206|1988|01/04/1989|E||||
460|206|1988|01/04/1990|E|MAR DEL PLATA|||
444|206|1988|01/04/1990|E|Ciudad Autónoma de Buenos Aires|||
430|206|S95|01/04/1990|P||||
497|206|1988|01/04/1990|P|TANDIL|||
468|206|1988|01/04/1990|E|SAN LUIS|||
527|206|1988|01/04/1991|P|OLAVARRIA|ESCUELA JUAN PABLO ECHAGUE|BACHILLER NACIONAL|
538|206|1988|01/04/1991|E||||
599|206|1988|01/04/1991|E|NECOCHEA|||
537|206|1988|01/04/1991|E||||
557|206|1988|01/04/1991|P||||
571|206|1988|01/04/1991|P||||
570|206|1988|01/04/1991|E|TANDIL|||
611|206|1988|01/04/1992|P|GENERAL PIRAN|COLEGIO SECUNDARIO DR. DIEGO DE SALINAS|BACHILLER CON ORIENTACIÓN EN CIENCIAS EXACTAS|
611|212|2007|29/08/2016|P|GENERAL PIRAN|COLEGIO SECUNDARIO DR. DIEGO DE SALINAS|BACHILLER CON ORIENTACIÓN EN CIENCIAS EXACTAS|
611|213|2014|29/08/2016|P|GENERAL PIRAN|COLEGIO SECUNDARIO DR. DIEGO DE SALINAS|BACHILLER CON ORIENTACIÓN EN CIENCIAS EXACTAS|
624|206|1988|01/04/1992|P||COLEGIO SECUNDARIO CAPITAN DE FRAGATA CARLOS MARIA MOYANO|BACHILLER|
643|206|S95|01/04/1992|P||||
3503|211|2004|26/04/2004|P||||
677|206|1988|01/04/1992|E|TANDIL|||
657|206|1988|01/04/1992|E|TANDIL|ESCUELA NACIONAL DE EDUCACION TECNICA Nº 1 ¨ING. FELIPE SENILLOSA¨|TÉCNICO EN COMPUTACION|
668|206|1988|01/04/1992|P|TANDIL|ESC. NORMAL REGIONAL GENERAL SAN MARTIN|Bachiller Pedagógico|
750|206|1988|01/04/1993|E|Ciudad Autónoma de Buenos Aires|||
787|206|1988|01/04/1993|E|AZUL|||
760|206|1988|01/04/1993|E||||
817|206|1988|01/04/1993|E|VICENTE LOPEZ|||
736|206|1988|01/04/1993|E||||
738|206|S95|01/04/1993|P||||
815|206|S95|01/04/1993|E|TANDIL|||
739|206|S95|01/04/1993|P|BOLIVAR|ESCUELA AGROTECNICA EJERCITO ARGENTINO |BACHILLER MERCANTIL|
778|206|1988|01/04/1993|E||||
841|206|1988|01/04/1993|P||||
753|206|1988|01/04/1993|P||||
724|206|1988|01/04/1993|E||||
926|206|S95|01/04/1994|P|OLAVARRIA|||
850|206|S95|01/04/1994|E|MAR DEL PLATA|ESCUELA NACIONAL NORMAL SUPERIOR GENERAL MANUEL BELGRANO|TÉCNICO ELECTRONICO|
856|206|1988|01/04/1994|P||||
912|206|S95|01/04/1994|E||||
885|206|S95|01/04/1994|N|RIO COLORADO||TÉCNICO MECANICO ELECTRICISTA|
855|206|S95|01/04/1994|P|MAR DEL PLATA|||
889|206|S95|01/04/1994|E||||
