id|fecha_relevamiento|alu_cos_est_ap_fam|alu_cos_est_plsoc|alu_cos_est_trab|alu_cos_est_beca|tiene_beca|tiene_beca_univ|tiene_beca_inter|tiene_beca_nacio|alu_beca_prov|alu_beca_muni|alu_beca_otra|alu_beca_tipo_ser|alu_beca_tipo_eco|alu_beca_tipo_inv|alu_beca_eco_tran|alu_beca_eco_efec|alu_beca_eco_foto|alu_beca_eco_habi|alu_beca_eco_come|alu_cos_est_otra|alu_cos_est_espec|
13|01/04/2002|||||N|||||||||||||||||
27|18/04/2013|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
29|01/04/2002|||||N|||||||||||||||||
33|01/04/2002|||||N|||||||||||||||||
34|01/04/2002|||||N|||||||||||||||||
41|01/04/2002|||||N|||||||||||||||||
51|12/03/2004|N||S||N|||||||||||||||||
55|01/04/2002|||||N|||||||||||||||||
60|01/04/2002|||||N|||||||||||||||||
65|01/04/2002|||||N|||||||||||||||||
78|01/04/2002|||||N|||||||||||||||||
85|01/04/2002|||||N|||||||||||||||||
120|01/04/2002|||||N|||||||||||||||||
135|16/03/2005|N||S||N|N|N|N||||||||||||||
136|29/11/2002|||||N|||||||||||||||||
141|01/04/2002|||||N|||||||||||||||||
143|01/04/2002|||||N|||||||||||||||||
157|01/04/2002|||||N|||||||||||||||||
166|21/06/2022|||||N|||||||||||||||||
179|31/03/2021|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
219|20/04/2017|||||N|||||||||||||||||
220|01/04/2002|||||N|||||||||||||||||
224|20/04/2017|||||N|||||||||||||||||
229|01/04/2002|||||N|||||||||||||||||
244|01/04/2002|||||N|||||||||||||||||
254|01/04/2002|||||N|||||||||||||||||
258|01/04/2002|||||N|||||||||||||||||
260|01/04/2002|||||N|||||||||||||||||
287|01/04/2002|||||N|||||||||||||||||
299|20/04/2017|||||N|||||||||||||||||
303|20/04/2017|||||N|||||||||||||||||
314|01/04/2002|||||N|||||||||||||||||
341|01/04/2002|||||N|||||||||||||||||
351|20/04/2017|||||N|||||||||||||||||
352|01/04/2002|||||N|||||||||||||||||
361|01/04/2002|||||N|||||||||||||||||
396|01/04/2002|||||N|||||||||||||||||
401|01/04/2002|||||N|||||||||||||||||
420|20/04/2017|||||N|||||||||||||||||
430|01/04/2002|||||N|||||||||||||||||
440|01/04/2002|||||N|||||||||||||||||
444|01/04/2002|||||N|||||||||||||||||
460|01/04/2002|||||N|||||||||||||||||
468|01/04/2002|||||N|||||||||||||||||
497|01/04/2002|||||N|||||||||||||||||
527|06/12/2002|||||N|||||||||||||||||
537|21/06/2022|||||N|||||||||||||||||
538|21/06/2022|||||N|||||||||||||||||
557|01/04/2002|||||N|||||||||||||||||
570|01/04/2002|||||N|||||||||||||||||
571|01/04/2002|||||N|||||||||||||||||
599|01/04/2002|||||N|||||||||||||||||
611|29/08/2016|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
624|20/04/2017|||||N|||||||||||||||||
643|20/04/2017|||||N|||||||||||||||||
657|22/02/2008|S|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
668|27/04/2004|||||N|||||||||||||||||
3582|27/04/2004|||||N|||||||||||||||||
677|01/04/2002|||||N|||||||||||||||||
724|21/06/2022|||||N|||||||||||||||||
736|20/04/2017|||||N|||||||||||||||||
738|01/04/2002|||||N|||||||||||||||||
739|08/08/2007|N||S||N|N|N|N||||||||||||||
750|01/04/2002|||||N|||||||||||||||||
753|01/04/2002|||||N|||||||||||||||||
760|20/04/2017|||||N|||||||||||||||||
768|01/04/2002|||||N|||||||||||||||||
778|20/04/2017|||||N|||||||||||||||||
781|01/04/2002|||||N|||||||||||||||||
787|01/04/2002|||||N|||||||||||||||||
815|01/04/2002|||||N|||||||||||||||||
817|01/04/2002|||||N|||||||||||||||||
841|01/04/2002|||||N|||||||||||||||||
850|26/09/2005|N||S||N|N|N|N||||||||||||||
855|01/04/2002|||||N|||||||||||||||||
856|01/04/2002|||||N|||||||||||||||||
859|01/04/2002|||||N|||||||||||||||||
883|09/06/2014||||||||||||||||||||||
885|26/03/2013|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
889|21/06/2022|||||N|||||||||||||||||
912|20/04/2017|||||N|||||||||||||||||
922|01/04/2002|||||N|||||||||||||||||
926|01/04/2002|||||N|||||||||||||||||
929|01/04/2002|||||N|||||||||||||||||
940|01/04/2002|||||N|||||||||||||||||
976|14/02/2014|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
980|20/04/2017|S|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
993|01/04/2002|||||N|||||||||||||||||
1017|01/04/2002|||||N|||||||||||||||||
1025|01/04/2002|||||N|||||||||||||||||
1026|20/04/2017|||||N|||||||||||||||||
1035|01/04/2002|||||N|||||||||||||||||
1040|01/04/2002|||||N|||||||||||||||||
1063|30/11/2016|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
1101|01/04/2002|||||N|||||||||||||||||
1115|01/04/2002|||||N|||||||||||||||||
1124|01/04/2002|||||N|||||||||||||||||
1130|01/04/2002|||||N|||||||||||||||||
1136|16/03/2005|S||N||N|N|N|N||||||||||||||
1153|01/04/2002|||||N|||||||||||||||||
1173|16/03/2007|N||S||N|N|N|N||||||||||||||
1175|01/04/2002|||||N|||||||||||||||||
1191|01/04/2002|||||N|||||||||||||||||
1195|01/04/2002|||||N|||||||||||||||||
1196|01/04/2002|||||N|||||||||||||||||
1201|20/09/2007|N||S||N|N|N|N||||||||||||||
1209|01/04/2002|||||N|||||||||||||||||
1215|06/03/2012|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
1222|09/02/2004|S||N||N|||||||||||||||||
1231|01/04/2002|||||N|||||||||||||||||
1242|01/04/2002|||||N|||||||||||||||||
1274|01/04/2002|||||N|||||||||||||||||
1278|01/04/2002|||||N|||||||||||||||||
1280|01/04/2002|||||N|||||||||||||||||
1290|15/02/2005|S||S||N|N|N|N||||||||||||||
1316|05/12/2002|||||N|||||||||||||||||
1318|01/04/2002|||||N|||||||||||||||||
1322|01/04/2002|||||N|||||||||||||||||
1328|20/02/2009|N|N|S|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N||
1343|20/04/2017|||||N|||||||||||||||||
