id|fecha_relevamiento|existe_trab_alum|antiguedad|empresa|sector|facilidad_est_emp|facilidad_est_inst|alu_trab_ocup|hora_sem_trab_alum|alu_trab_tarea|alu_trab_hace|rel_trab_carrera|alu_trab_desjub|alu_trab_fami|remuneracion|
13|01/04/2002|||||||||||||||
27|18/04/2013|Trabajó al menos una hora||||||Permanente|35 o m¿s horas|docente|Pasante|Total|S|N|N|
29|01/04/2002|||||||||||||||
33|01/04/2002|||||||||||||||
34|01/04/2002|||||||||||||||
41|01/04/2002|||||||||||||||
51|12/03/2004|Trabajó al menos una hora|||||||Mas de 20 y menos de 35 horas|||Total|||1|
55|01/04/2002|||||||||||||||
60|01/04/2002|||||||||||||||
65|01/04/2002|||||||||||||||
78|01/04/2002|||||||||||||||
85|01/04/2002|||||||||||||||
120|01/04/2002|||||||||||||||
135|16/03/2005|Trabajó al menos una hora|||||||Mas de 20 y menos de 35 horas|||Total|||1|
136|29/11/2002||||||||Mas de 20 y menos de 35 horas|||Total||||
141|01/04/2002|||||||||||||||
143|01/04/2002|||||||||||||||
157|01/04/2002|||||||||||||||
166|21/06/2022|||||||||||||||
179|31/03/2021|Trabajó al menos una hora||||||Permanente|Mas de 20 y menos de 35 horas|Armador, Diario El Eco de Tandil|Obrero o empleado|Sin relación|S|N|S|
219|20/04/2017|||||||||||||||
220|01/04/2002|||||||||||||||
224|20/04/2017|||||||||||||||
229|01/04/2002|||||||||||||||
244|01/04/2002|||||||||||||||
254|01/04/2002|||||||||||||||
258|01/04/2002|||||||||||||||
260|01/04/2002|||||||||||||||
287|01/04/2002|||||||||||||||
299|20/04/2017|||||||||||||||
303|20/04/2017|||||||||||||||
314|01/04/2002|||||||||||||||
341|01/04/2002|||||||||||||||
351|20/04/2017|||||||||||||||
352|01/04/2002|||||||||||||||
361|01/04/2002|||||||||||||||
396|01/04/2002|||||||||||||||
401|01/04/2002|||||||||||||||
420|20/04/2017|||||||||||||||
430|01/04/2002|||||||||||||||
440|01/04/2002|||||||||||||||
444|01/04/2002|||||||||||||||
460|01/04/2002|||||||||||||||
468|01/04/2002|||||||||||||||
497|01/04/2002|||||||||||||||
527|06/12/2002|||||||||||||||
537|21/06/2022|||||||||||||||
538|21/06/2022|||||||||||||||
557|01/04/2002|||||||||||||||
570|01/04/2002|||||||||||||||
571|01/04/2002|||||||||||||||
599|01/04/2002|||||||||||||||
611|29/08/2016|Trabajó al menos una hora||||||Permanente|35 o m¿s horas|programador|Obrero o empleado|Total|S|N|S|
624|20/04/2017||||||||Mas de 20 y menos de 35 horas|||Parcial||||
643|20/04/2017|||||||||||||||
657|22/02/2008|Trabajó al menos una hora||||||Temporaria|Mas de 10 y hasta 20 horas|tareas generales|Cuenta propia|Total|N|N|1|
668|27/04/2004|Trabajó al menos una hora|||||||Mas de 10 y hasta 20 horas|||Parcial||||
3582|27/04/2004|Trabajó al menos una hora|||||||Mas de 10 y hasta 20 horas|||Parcial||||
677|01/04/2002|||||||||||||||
724|21/06/2022|||||||||||||||
736|20/04/2017|||||||||||||||
738|01/04/2002|||||||||||||||
739|08/08/2007|Trabajó al menos una hora|||||||Mas de 10 y hasta 20 horas|||Sin relación|||1|
750|01/04/2002|||||||||||||||
753|01/04/2002|||||||||||||||
760|20/04/2017|||||||||||||||
768|01/04/2002|||||||||||||||
778|20/04/2017|||||||||||||||
781|01/04/2002|||||||||||||||
787|01/04/2002|||||||||||||||
815|01/04/2002|||||||||||||||
817|01/04/2002|||||||||||||||
841|01/04/2002|||||||||||||||
850|26/09/2005|Trabajó al menos una hora|||||||Mas de 20 y menos de 35 horas|||Total|||1|
855|01/04/2002|||||||||||||||
856|01/04/2002|||||||||||||||
859|01/04/2002|||||||||||||||
883|09/06/2014|||||||||||||||
885|26/03/2013|Trabajó al menos una hora||||||Permanente|35 o m¿s horas|analista programador|Obrero o empleado|Total|S|N|S|
889|21/06/2022|||||||||||||||
912|20/04/2017|||||||||||||||
922|01/04/2002|||||||||||||||
926|01/04/2002|||||||||||||||
929|01/04/2002|||||||||||||||
940|01/04/2002|||||||||||||||
976|14/02/2014|Trabajó al menos una hora||||||Permanente|35 o m¿s horas|mantenimiento paginas web, bases de datos|Obrero o empleado|Total|S|N|S|
980|20/04/2017|Trabajó al menos una hora||||||Temporaria|Mas de 10 y hasta 20 horas|laboratorista en  planta de alumnio de metalurgica tandil|Obrero o empleado|Total|N|N|S|
993|01/04/2002|||||||||||||||
1017|01/04/2002|||||||||||||||
1025|01/04/2002|||||||||||||||
1026|20/04/2017||||||||Hasta 10 horas|||Total||||
1035|01/04/2002|||||||||||||||
1040|01/04/2002|||||||||||||||
1063|30/11/2016|Trabajó al menos una hora||||||Permanente|35 o m¿s horas|Desarrollo de sofyware - Manteminiento de HW|Obrero o empleado|Total|S|N|S|
1101|01/04/2002|||||||||||||||
1115|01/04/2002|||||||||||||||
1124|01/04/2002|||||||||||||||
1130|01/04/2002|||||||||||||||
1136|16/03/2005|Trabajó al menos una hora|||||||Mas de 20 y menos de 35 horas|||Sin relación|||1|
1153|01/04/2002|||||||||||||||
1173|16/03/2007|Trabajó al menos una hora|||||||Mas de 20 y menos de 35 horas|||Total|||1|
1175|01/04/2002|||||||||||||||
1191|01/04/2002|||||||||||||||
1195|01/04/2002|||||||||||||||
1196|01/04/2002|||||||||||||||
1201|20/09/2007|Trabajó al menos una hora|||||||Mas de 10 y hasta 20 horas|||Sin relación|||1|
1209|01/04/2002|||||||||||||||
1215|06/03/2012|Trabajó al menos una hora||||||Permanente|35 o m¿s horas|Programación|Obrero o empleado|Total|N|N|S|
1222|09/02/2004|No esta pensando en trabajar||||||||||||||
1231|01/04/2002|||||||||||||||
1242|01/04/2002|||||||||||||||
1274|01/04/2002|||||||||||||||
1278|01/04/2002|||||||||||||||
1280|01/04/2002|||||||||||||||
1290|15/02/2005|Trabajó al menos una hora|||||||Hasta 10 horas|||Total|||1|
1316|05/12/2002||||||||Mas de 20 y menos de 35 horas|||Sin relación||||
1318|01/04/2002|||||||||||||||
1322|01/04/2002|||||||||||||||
1328|20/02/2009|Trabajó al menos una hora||||||Permanente|35 o m¿s horas|Desarrollo de software|Obrero o empleado|Total|S|N|S|
1343|20/04/2017|||||||||||||||
1350|01/04/2002|||||||||||||||
1356|01/04/2002|||||||||||||||
1378|01/04/2002|||||||||||||||
1385|07/03/2006|Trabajó al menos una hora|||||||Mas de 20 y menos de 35 horas|||Total|||1|
1387|01/04/2002|||||||||||||||
1417|01/04/2002|||||||||||||||
1423|01/04/2002|||||||||||||||
1428|06/03/2004|No esta pensando en trabajar||||||||||||||
1435|08/03/2004|Trabajó al menos una hora|||||||Mas de 10 y hasta 20 horas|||Parcial|||1|
1438|01/04/2002|||||||||||||||
1445|01/10/2012|Trabajó al menos una hora||||||Permanente|35 o m¿s horas|Desarrollador c++ y IOs|Obrero o empleado|Total|S|N|S|
1456|01/04/2002|||||||||||||||
1464|20/04/2017|Trabajó al menos una hora|||||||Mas de 10 y hasta 20 horas|||Total|||1|
1479|01/04/2002|||||||||||||||
1516|01/04/2002|||||||||||||||
1520|01/04/2002|||||||||||||||
1521|01/04/2002|||||||||||||||
1524|21/06/2022|||||||||||||||
1525|01/04/2002|||||||||||||||
1553|01/04/2002|||||||||||||||
1561|01/04/2002|||||||||||||||
1580|01/04/2002|||||||||||||||
1594|01/04/2002|||||||||||||||
1599|01/04/2002|||||||||||||||
1603|01/04/2002|||||||||||||||
1619|04/03/2003|Trabajó al menos una hora|||||||Hasta 10 horas|||Parcial||||
1629|06/12/2002||||||||Hasta 10 horas|||Sin relación||||
1646|20/04/2017|No esta pensando en trabajar||||||||||||||
1682|19/03/2019|Trabajó al menos una hora|6|UNICEN|ENSEÑANZA|Mucha|Mucha|Permanente|35 o m¿s horas|reparación de pc|Obrero o empleado|Parcial|S|N|S|
1688|01/04/2002|||||||||||||||
1696|20/03/2014|Trabajó al menos una hora||||||Permanente|35 o m¿s horas|Programador|Patrón|Total|S|N|S|
1703|05/08/2006|Trabajó al menos una hora|||||||Mas de 20 y menos de 35 horas|||Total|||1|
1705|01/04/2002|||||||||||||||
1727|21/06/2022|Trabajó al menos una hora|||||||Hasta 10 horas|||Total||||
1737|01/04/2002|||||||||||||||
1753|06/12/2002||||||||Mas de 20 y menos de 35 horas|||Sin relación||||
1759|01/04/2002|||||||||||||||
1762|01/04/2002|||||||||||||||
1786|09/02/2010|Trabajó al menos una hora||||||Permanente|35 o m¿s horas|Trabajo en un negocio de venta de accesorios para riego y piletas, en la parte informatica y en la instalacion, hago mantenimiento de pc y diseño web por cuenta propia|Obrero o empleado|Parcial|N|S|S|
1794|23/02/2022|No trabajó y no buscó trabajo en los últimos 30 días|0||||||||Obrero o empleado|||||
1811|01/04/2002|||||||||||||||
1833|07/03/2004|No esta pensando en trabajar|||||||Mas de 20 y menos de 35 horas|||Sin relación||||
1863|20/04/2017|Trabajó al menos una hora|||||||Mas de 10 y hasta 20 horas|||Total|||1|
1882|01/04/2002|||||||||||||||
1895|21/06/2022|Trabajó al menos una hora||||||Temporaria|Hasta 10 horas|Ayudante Alumno y encargado de Lab. de Física|Pasante|Total|S|N|S|
1916|08/03/2004|Trabajó al menos una hora|||||||Mas de 20 y menos de 35 horas|||Sin relación|||1|
1919|26/06/2019|Trabajó al menos una hora|||SERVICIOS COMUNITARIOS, SOCIALES Y PERSONALES N.C.P.|Poca|Poca|Permanente|Mas de 20 y menos de 35 horas|Informatica|Obrero o empleado|Total|S|N|S|
