id|fecha_relevamiento|practica_deportes|hace_dep_gim_priv|hace_dep_univ|hace_dep_partic|hace_dep_otros|prac_dep_basquet|prac_dep_natacion|prac_dep_futbol|prac_dep_gimnasia|prac_dep_tenis|prac_dep_handball|prac_dep_voley|prac_dep_otros|
13|01/04/2002||||||||||||||
27|18/04/2013|S|S|N|N|N|N|N|N|N|N|N|N|S|
29|01/04/2002||||||||||||||
33|01/04/2002||||||||||||||
34|01/04/2002||||||||||||||
41|01/04/2002||||||||||||||
51|12/03/2004|S|||S|||||||||S|
55|01/04/2002||||||||||||||
60|01/04/2002||||||||||||||
65|01/04/2002||||||||||||||
78|01/04/2002||||||||||||||
85|01/04/2002||||||||||||||
120|01/04/2002||||||||||||||
135|16/03/2005|N|||||||||||||
136|29/11/2002||||||||||||||
141|01/04/2002||||||||||||||
143|01/04/2002||||||||||||||
157|01/04/2002||||||||||||||
166|21/06/2022||||||||||||||
179|31/03/2021|N|N|N|N|N|N|N|N|N|N|N|N|N|
219|20/04/2017||||||||||||||
220|01/04/2002||||||||||||||
224|20/04/2017||||||||||||||
229|01/04/2002||||||||||||||
244|01/04/2002||||||||||||||
254|01/04/2002||||||||||||||
258|01/04/2002||||||||||||||
260|01/04/2002||||||||||||||
287|01/04/2002||||||||||||||
299|20/04/2017||||||||||||||
303|20/04/2017||||||||||||||
314|01/04/2002||||||||||||||
341|01/04/2002||||||||||||||
351|20/04/2017||||||||||||||
352|01/04/2002||||||||||||||
361|01/04/2002||||||||||||||
396|01/04/2002||||||||||||||
401|01/04/2002||||||||||||||
420|20/04/2017||||||||||||||
430|01/04/2002||||||||||||||
440|01/04/2002||||||||||||||
444|01/04/2002||||||||||||||
460|01/04/2002||||||||||||||
468|01/04/2002||||||||||||||
497|01/04/2002||||||||||||||
527|06/12/2002||||||||||||||
537|21/06/2022||||||||||||||
538|21/06/2022||||||||||||||
557|01/04/2002||||||||||||||
570|01/04/2002||||||||||||||
571|01/04/2002||||||||||||||
599|01/04/2002||||||||||||||
611|29/08/2016|N|N|N|N|N|N|N|N|N|N|N|N|N|
624|20/04/2017||||||||||||||
643|20/04/2017||||||||||||||
657|22/02/2008|S|N|N|S|S|N|S|N|N|N|N|N|S|
668|27/04/2004||||||||||||||
3582|27/04/2004||||||||||||||
677|01/04/2002||||||||||||||
724|21/06/2022||||||||||||||
736|20/04/2017||||||||||||||
738|01/04/2002||||||||||||||
739|08/08/2007|S|||S||||S||||||
750|01/04/2002||||||||||||||
753|01/04/2002||||||||||||||
760|20/04/2017||||||||||||||
768|01/04/2002||||||||||||||
778|20/04/2017||||||||||||||
781|01/04/2002||||||||||||||
787|01/04/2002||||||||||||||
815|01/04/2002||||||||||||||
817|01/04/2002||||||||||||||
841|01/04/2002||||||||||||||
850|26/09/2005|S|||S||||S||||||
855|01/04/2002||||||||||||||
856|01/04/2002||||||||||||||
859|01/04/2002||||||||||||||
883|09/06/2014||||||||||||||
