id|fecha_relevamiento|alu_cos_est_ap_fam|alu_cos_est_plsoc|alu_cos_est_trab|alu_cos_est_beca|tiene_beca|tiene_beca_univ|tiene_beca_inter|tiene_beca_nacio|alu_beca_prov|alu_beca_muni|alu_beca_otra|alu_beca_tipo_ser|alu_beca_tipo_eco|alu_beca_tipo_inv|alu_beca_eco_tran|alu_beca_eco_efec|alu_beca_eco_foto|alu_beca_eco_habi|alu_beca_eco_come|alu_cos_est_otra|alu_cos_est_espec|
3|01/04/2002|||||N|||||||||||||||||
16|01/04/2002|||||N|||||||||||||||||
23|12/03/2004|S||N||N|||||||||||||||||
27|15/03/2004|N||S||N|N|N|N||||||||||||||
30|05/03/2004|N||S||N|N|N|N||||||||||||||
37|01/04/2002|||||N|||||||||||||||||
38|04/03/2004|S||S||N|N|N|N||||||||||||||
46|01/04/2002|||||N|||||||||||||||||
53|01/04/2002|||||N|||||||||||||||||
54|01/04/2002|||||N|||||||||||||||||
55|01/04/2002|||||N|||||||||||||||||
55|29/03/2000|||||N|||||||||||||||||
57|01/04/2002|||||N|||||||||||||||||
72|01/04/2002|||||N|||||||||||||||||
83|01/04/2002|||||N|||||||||||||||||
95|01/04/2002|||||N|||||||||||||||||
96|01/04/2002|||||N|||||||||||||||||
115|01/04/2002|||||N|||||||||||||||||
117|01/04/2002|||||N|||||||||||||||||
118|01/04/2002|||||N|||||||||||||||||
119|01/04/2002|||||N|||||||||||||||||
122|01/04/2002|||||N|||||||||||||||||
127|01/04/2002|||||N|||||||||||||||||
128|24/05/2005|N||S||N|N|N|N||||||||||||||
130|02/03/2005|N||S||N|N|N|N||||||||||||||
130|22/06/2007|N||S||N|N|N|N||||||||||||||
132|01/04/2002|||||N|||||||||||||||||
135|01/04/2002|||||N|||||||||||||||||
136|29/11/2002|||||N|||||||||||||||||
140|01/04/2002|||||N|||||||||||||||||
158|01/04/2002|||||N|||||||||||||||||
163|08/03/2006|N||S||N|N|N|N||||||||||||||
191|01/04/2002|||||N|||||||||||||||||
198|25/07/2005|||||N|||||||||||||||||
206|27/02/2003|||||N|||||||||||||||||
207|01/04/2002|||||N|||||||||||||||||
208|01/04/2002|||||N|||||||||||||||||
211|01/04/2002|||||N|||||||||||||||||
217|01/04/2002|||||N|||||||||||||||||
221|13/02/2003|||||N|||||||||||||||||
237|01/04/2002|||||N|||||||||||||||||
251|01/04/2002|||||N|||||||||||||||||
263|01/04/2002|||||N|||||||||||||||||
267|04/02/2005|N||S||N|N|N|N||||||||||||||
3594|04/02/2005|N||S||N|N|N|N||||||||||||||
270|01/04/2002|||||N|||||||||||||||||
273|01/04/2002|||||N|||||||||||||||||
295|01/04/2002|||||N|||||||||||||||||
298|01/04/2002|||||N|||||||||||||||||
306|01/04/2002|||||N|||||||||||||||||
307|01/04/2002|||||N|||||||||||||||||
316|01/04/2002|||||N|||||||||||||||||
332|04/03/2006|S||S||N|N|N|N||||||||||||||
334|01/04/2002|||||N|||||||||||||||||
343|01/12/2002|||||N|||||||||||||||||
348|12/07/2007|N||S||N|N|N|N||||||||||||||
349|01/04/2002|||||N|||||||||||||||||
358|03/02/2003|||||N|||||||||||||||||
359|01/04/2002|||||N|||||||||||||||||
369|01/04/2002|||||N|||||||||||||||||
378|06/02/2003|||||N|||||||||||||||||
379|03/02/2003|||||N|||||||||||||||||
379|25/02/2005|N||S||N|N|N|N||||||||||||||
390|29/03/2005|N||S||N|N|N|N||||||||||||||
399|01/04/2002|||||N|||||||||||||||||
421|01/04/2002|||||N|||||||||||||||||
427|01/04/2002|||||N|||||||||||||||||
428|01/04/2002|||||N|||||||||||||||||
438|01/04/2002|||||N|||||||||||||||||
472|01/04/2002|||||N|||||||||||||||||
475|01/04/2002|||||N|||||||||||||||||
486|01/04/2002|||||N|||||||||||||||||
487|10/02/2003|||||N|||||||||||||||||
490|01/04/2002|||||N|||||||||||||||||
508|01/04/2002|||||N|||||||||||||||||
512|01/04/2002|||||N|||||||||||||||||
3532|26/04/2004|N||S||N|N|N|N||||||||||||||
562|01/04/2002|||||N|||||||||||||||||
569|01/04/2002|||||N|||||||||||||||||
572|01/04/2002|||||N|||||||||||||||||
592|26/02/2004|N||S||N|||||||||||||||||
593|01/04/2002|||||N|||||||||||||||||
616|01/04/2002|||||N|||||||||||||||||
622|08/04/2005|N||S||N|N|N|N||||||||||||||
633|01/04/2002|||||N|||||||||||||||||
633|06/09/2004|||||N|||||||||||||||||
638|03/04/2003|||||N|||||||||||||||||
648|01/04/2002|||||N|||||||||||||||||
654|01/04/2002|||||N|||||||||||||||||
657|28/11/2002|||||N|||||||||||||||||
672|01/04/2002|||||N|||||||||||||||||
707|15/11/2006|N||S||N|N|N|N||||||||||||||
708|01/04/2002|||||N|||||||||||||||||
718|01/04/2002|||||N|||||||||||||||||
722|04/02/2003|||||N|||||||||||||||||
722|03/04/2007|N||S||N|N|N|N||||||||||||||
728|01/04/2002|||||N|||||||||||||||||
730|01/04/2002|||||N|||||||||||||||||
735|10/08/2007|S||N||N|N|N|N||||||||||||||
739|31/08/2004|N||S||N|N|N|N||||||||||||||
746|01/04/2002|||||N|||||||||||||||||
772|05/02/2003|||||N|||||||||||||||||
773|14/02/2003|||||N|||||||||||||||||
777|01/04/2002|||||N|||||||||||||||||
780|14/05/2007|N||S||N|N|N|N||||||||||||||
793|01/04/2002|||||N|||||||||||||||||
795|01/04/2002|||||N|||||||||||||||||
803|12/12/2002|||||N|||||||||||||||||
817|01/04/2002|||||N|||||||||||||||||
819|05/02/2003|||||N|||||||||||||||||
824|23/01/2006|S||S||N|N|N|N||||||||||||||
832|01/04/2002|||||N|||||||||||||||||
832|10/02/2003|||||N|||||||||||||||||
833|01/04/2002|||||N|||||||||||||||||
