id|fecha_relevamiento|existe_trab_alum|antiguedad|empresa|sector|facilidad_est_emp|facilidad_est_inst|alu_trab_ocup|hora_sem_trab_alum|alu_trab_tarea|alu_trab_hace|rel_trab_carrera|alu_trab_desjub|alu_trab_fami|remuneracion|
120|01/04/2002|||||||||||||||
135|10/02/2003|Trabajó al menos una hora|||||||Mas de 20 y menos de 35 horas|||Total||||
557|01/04/2002|||||||||||||||
657|07/03/2006|Trabajó al menos una hora|||||||Hasta 10 horas|||Parcial|||1|
778|01/04/2002|||||||||||||||
850|01/04/2002|||||||||||||||
1063|14/02/2007|Trabajó al menos una hora|||||||Mas de 10 y hasta 20 horas|||Total|||1|
1328|01/12/2002|||||||||||||||
1328|10/03/2006|Trabajó al menos una hora|||||||Mas de 20 y menos de 35 horas|||Parcial|||1|
1385|07/03/2006|Trabajó al menos una hora|||||||Mas de 20 y menos de 35 horas|||Total|||1|
1417|01/04/2002|||||||||||||||
1445|05/12/2002|||||||||||||||
1696|25/02/2008|Trabajó al menos una hora||||||Permanente|35 o más horas|Programador|Obrero o empleado|Total|S|N|S|
1703|02/02/2004|Trabajó al menos una hora|||||||Mas de 10 y hasta 20 horas|||Total|||1|
1786|01/04/2002|||||||||||||||
1895|15/03/2005|No esta pensando en trabajar||||||||||||||
1895|17/03/2008|Trabajó al menos una hora||||||Temporaria|Hasta 10 horas|Ayudante Alumno y encargado de Lab. de Física|Obrero o empleado|Total|S|N|S|
1919|14/02/2006|Trabajó al menos una hora|||||||Mas de 10 y hasta 20 horas|||Total|||1|
1947|09/01/2006|No esta pensando en trabajar||||||||||||||
2009|21/03/2007|Trabajó al menos una hora|||||||Mas de 20 y menos de 35 horas|||Total|||1|
2021|04/08/2005|No esta pensando en trabajar||||||||||||||
2021|10/12/2002|||||||||||||||
2046|27/11/2002|||||||||||||||
2064|06/12/2002|||||||||||||||
2149|01/04/2002|||||||||||||||
2160|01/04/2002|||||||||||||||
2166|01/04/2002|||||||||||||||
