id|fecha_relevamiento|alu_otestsup_uni|alu_otestsup_tipo|alu_otestsup_carr|alu_otestsup_area|alu_otestsup_niv|alu_otestsup_esta|alu_otestsup_egre|
3|01/04/2002||||||||
16|01/04/2002||||||||
23|12/03/2004||||||||
27|15/03/2004||||||||
30|05/03/2004||||||||
37|01/04/2002||||||||
38|04/03/2004||||||||
46|01/04/2002||||||||
53|01/04/2002||||||||
54|01/04/2002||||||||
55|01/04/2002||||||||
55|29/03/2000||||||||
57|01/04/2002||||||||
72|01/04/2002||||||||
83|01/04/2002||||||||
95|01/04/2002||||||||
96|01/04/2002||||||||
115|01/04/2002||||||||
117|01/04/2002||||||||
118|01/04/2002||||||||
119|01/04/2002||||||||
122|01/04/2002||||||||
127|01/04/2002||||||||
128|24/05/2005||||||||
130|02/03/2005||||||||
130|22/06/2007||||||||
132|01/04/2002||||||||
135|01/04/2002||||||||
136|29/11/2002||||||||
140|01/04/2002||||||||
158|01/04/2002||||||||
163|08/03/2006||||||||
191|01/04/2002||||||||
198|25/07/2005||||||||
206|27/02/2003||||||||
207|01/04/2002||||||||
208|01/04/2002||||||||
211|01/04/2002||||||||
217|01/04/2002||||||||
221|13/02/2003||||||||
237|01/04/2002||||||||
251|01/04/2002||||||||
263|01/04/2002||||||||
267|04/02/2005||||||||
3594|04/02/2005||||||||
270|01/04/2002||||||||
273|01/04/2002||||||||
295|01/04/2002||||||||
298|01/04/2002||||||||
306|01/04/2002||||||||
307|01/04/2002||||||||
316|01/04/2002||||||||
332|04/03/2006||||||||
334|01/04/2002||||||||
343|01/12/2002||||||||
348|12/07/2007||||||||
349|01/04/2002||||||||
358|03/02/2003||||||||
359|01/04/2002||||||||
369|01/04/2002||||||||
378|06/02/2003||||||||
379|03/02/2003||||||||
379|25/02/2005||||||||
390|29/03/2005||||||||
399|01/04/2002||||||||
421|01/04/2002||||||||
427|01/04/2002||||||||
428|01/04/2002||||||||
438|01/04/2002||||||||
472|01/04/2002||||||||
475|01/04/2002||||||||
486|01/04/2002||||||||
487|10/02/2003||||||||
490|01/04/2002||||||||
508|01/04/2002||||||||
512|01/04/2002||||||||
3532|26/04/2004||||||||
562|01/04/2002||||||||
569|01/04/2002||||||||
572|01/04/2002||||||||
592|26/02/2004||||||||
593|01/04/2002||||||||
616|01/04/2002||||||||
622|08/04/2005||||||||
633|01/04/2002||||||||
633|06/09/2004||||||||
638|03/04/2003||||||||
648|01/04/2002||||||||
654|01/04/2002||||||||
657|28/11/2002||||||||
672|01/04/2002||||||||
707|15/11/2006||||||||
708|01/04/2002||||||||
718|01/04/2002||||||||
722|04/02/2003||||||||
722|03/04/2007||||||||
728|01/04/2002||||||||
730|01/04/2002||||||||
735|10/08/2007||||||||
739|31/08/2004||||||||
746|01/04/2002||||||||
772|05/02/2003||||||||
773|14/02/2003||||||||
777|01/04/2002||||||||
780|14/05/2007||||||||
793|01/04/2002||||||||
795|01/04/2002||||||||
803|12/12/2002||||||||
817|01/04/2002||||||||
819|05/02/2003||||||||
824|23/01/2006||||||||
832|01/04/2002||||||||
832|10/02/2003||||||||
833|01/04/2002||||||||
833|09/03/2006||||||||
841|01/04/2002||||||||
856|01/04/2002||||||||
858|01/04/2002||||||||
858|28/07/2005||||||||
861|01/04/2002||||||||
863|01/04/2002||||||||
869|01/04/2002||||||||
872|09/03/2006||||||||
877|01/04/2002||||||||
883|12/05/2005||||||||
885|13/02/2007||||||||
888|01/04/2002||||||||
896|06/02/2003||||||||
899|01/04/2002||||||||
908|01/04/2002||||||||
910|20/02/2004||||||||
918|01/04/2002||||||||
919|02/02/2006||||||||
934|01/03/2007||||||||
934|27/11/2002||||||||
952|21/03/1995||||||||
953|01/04/2002||||||||
954|01/04/2002||||||||
957|01/02/2006||||||||
957|13/02/2007||||||||
959|01/04/2002||||||||
960|19/03/2004||||||||
970|01/04/2002||||||||
973|01/03/2004||||||||
979|03/02/2003||||||||
991|01/04/2002||||||||
992|22/03/2005||||||||
