id|fecha_relevamiento|alu_idioma_ingl|alu_idioma_alem|alu_idioma_fran|alu_idioma_ital|alu_idioma_port|alu_idioma_otro|
1|01/04/2002|||||||
2|29/03/2000|||||||
2|01/04/2002|||||||
3|01/04/2002|||||||
4|01/04/2002|||||||
5|01/04/2002|||||||
6|01/04/2002|||||||
7|01/04/2002|||||||
7|14/02/2003|||||||
8|01/04/2002|||||||
9|01/04/2002|||||||
10|01/04/2002|||||||
10|14/02/2003|||||||
11|01/04/2002|||||||
12|19/03/2007|||||||
13|01/04/2002|||||||
14|01/04/2002|||||||
15|01/04/2002|||||||
16|01/04/2002|||||||
17|01/04/2002|||||||
18|01/04/2002|||||||
19|01/04/2002|||||||
20|01/04/2002|||||||
21|01/04/2002|||||||
22|01/04/2002|||||||
23|01/04/2002|||||||
23|19/12/2002|||||||
23|12/03/2004|||||||
23|15/03/2005|||||||
24|01/04/2002|||||||
25|01/04/2002|||||||
26|01/04/2002|||||||
27|01/04/2002|||||||
27|15/03/2004|||||||
27|28/07/2005|||||||
27|15/05/2007|||||||
28|29/03/1983|||||||
29|01/04/2002|||||||
30|01/04/2002|||||||
30|29/11/2002|||||||
30|05/03/2004|||||||
30|02/01/2006|||||||
30|28/02/2007|||||||
31|01/04/2002|||||||
32|01/04/2002|||||||
33|01/04/2002|||||||
34|01/04/2002|||||||
35|01/04/2002|||||||
36|01/04/2002|||||||
37|01/04/2002|||||||
38|01/04/2002|||||||
38|04/03/2004|||||||
38|04/12/2002|||||||
38|21/02/2006|||||||
38|31/08/2007|||||||
39|01/03/2004|||||||
39|01/04/2002|||||||
40|01/04/2002|||||||
40|26/02/2004|||||||
40|18/12/2002|||||||
41|01/04/2002|||||||
42|01/04/2002|||||||
42|13/12/2002|||||||
42|02/03/2004|||||||
42|31/10/2005|||||||
42|14/02/2007|||||||
43|01/04/2002|||||||
44|01/04/2002|||||||
45|01/04/2002|||||||
46|01/04/2002|||||||
47|01/04/2002|||||||
48|01/04/2002|||||||
49|01/04/2002|||||||
50|01/04/2002|||||||
51|01/04/2002|||||||
51|26/03/2003|||||||
51|12/03/2004|||||||
52|01/04/2002|||||||
53|01/04/2002|||||||
53|23/02/2005|||||||
54|01/04/2002|||||||
55|01/04/2002|||||||
55|29/03/2000|||||||
56|01/04/2002|||||||
57|01/04/2002|||||||
58|01/04/2002|||||||
59|01/04/2002|||||||
60|01/04/2002|||||||
61|01/04/2002|||||||
62|01/04/2002|||||||
63|01/04/2002|||||||
64|01/04/2002|||||||
65|01/04/2002|||||||
3519|01/04/2002|||||||
3519|26/04/2004|||||||
66|01/04/2002|||||||
66|30/04/2007|||||||
67|01/04/2002|||||||
68|01/04/2002|||||||
69|29/03/2000|||||||
70|01/04/2002|||||||
71|01/04/2002|||||||
72|01/04/2002|||||||
73|01/04/2002|||||||
74|01/04/2002|||||||
75|01/04/2002|||||||
76|01/04/2002|||||||
77|01/04/2002|||||||
78|01/04/2002|||||||
79|01/04/2002|||||||
80|01/04/2002|||||||
81|01/04/2002|||||||
81|19/03/2007|||||||
82|01/04/2002|||||||
82|15/04/2004|||||||
83|01/04/2002|||||||
84|01/04/2002|||||||
85|01/04/2002|||||||
86|01/04/2002|||||||
87|01/04/2002|||||||
87|06/12/2002|||||||
88|01/04/2002|||||||
89|01/04/2002|||||||
90|01/04/2002|||||||
91|01/04/2002|||||||
92|01/04/2002|||||||
93|01/04/2002|||||||
94|01/04/2002|||||||
95|01/04/2002|||||||
95|03/03/2003|||||||
95|07/03/2004|||||||
95|09/03/2005|||||||
95|27/02/2007|||||||
96|13/03/2008|||||||
96|01/04/2002|||||||
97|01/04/2002|||||||
98|01/04/2002|||||||
99|01/04/2002|||||||
100|01/04/2002|||||||
101|01/04/2002|||||||
102|01/04/2002|||||||
103|01/04/2002|||||||
104|01/04/2002|||||||
105|01/04/2002|||||||
106|01/04/2002|||||||
107|01/04/2002|||||||
108|01/04/2002|||||||
109|01/04/2002|||||||
110|01/04/2002|||||||
111|01/04/2002|||||||
112|01/04/2002|||||||
113|01/04/2002|||||||
114|01/04/2002|||||||
115|01/04/2002|||||||
116|01/04/2002|||||||
117|01/04/2002|||||||
118|01/04/2002|||||||
119|01/04/2002|||||||
120|01/04/2002|||||||
121|01/04/2002|||||||
122|01/04/2002|||||||
123|01/04/2002|||||||
124|01/04/2002|||||||
3563|01/04/2002|||||||
3563|27/04/2004|||||||
125|01/04/2002|||||||
126|01/04/2002|||||||
127|01/04/2002|||||||
128|01/04/2002|||||||
128|24/05/2005|||||||
129|01/04/2002|||||||
130|01/04/2002|||||||
130|24/02/2004|||||||
130|10/02/2003|||||||
130|02/03/2005|||||||
130|08/03/2006|||||||
130|22/06/2007|||||||
131|01/04/2002|||||||
132|01/04/2002|||||||
133|01/04/2002|||||||
134|01/04/2002|||||||
135|01/04/2002|||||||
135|10/02/2003|||||||
135|24/02/2004|||||||
135|16/03/2005|||||||
136|29/11/2002|||||||
136|01/04/2002|||||||
137|01/04/2002|||||||
138|01/04/2002|||||||
138|01/03/2004|||||||
138|11/04/2006|||||||
138|07/03/2005|||||||
138|05/02/2008|Bueno||||||
139|01/04/2002|||||||
140|01/04/2002|||||||
141|01/04/2002|||||||
142|01/04/2002|||||||
143|01/04/2002|||||||
144|13/03/1986|||||||
144|13/12/2002|||||||
145|01/04/2002|||||||
146|01/04/2002|||||||
147|01/04/2002|||||||
148|01/04/2002|||||||
149|01/04/2002|||||||
150|01/04/2002|||||||
150|18/12/2002|||||||
150|01/03/2005|||||||
150|14/03/2006|||||||
151|01/04/2002|||||||
152|01/04/2002|||||||
153|01/04/2002|||||||
153|16/03/2006|||||||
153|10/07/2007|||||||
154|01/04/2002|||||||
155|01/04/2002|||||||
156|01/04/2002|||||||
157|01/04/2002|||||||
158|01/04/2002|||||||
159|26/04/2004|||||||
159|28/03/2006|||||||
160|01/04/2002|||||||
161|01/04/2002|||||||
162|01/04/2002|||||||
163|01/04/2002|||||||
163|25/02/2004|||||||
163|23/12/2002|||||||
163|02/03/2005|||||||
163|08/03/2006|||||||
163|12/03/2007|||||||
164|01/04/2002|||||||
165|01/04/2002|||||||
166|01/04/2002|||||||
166|09/02/2006|||||||
167|06/04/2005|||||||
167|01/04/2002|||||||
168|01/04/2002|||||||
169|01/04/2002|||||||
170|01/04/2002|||||||
171|01/04/2002|||||||
172|01/04/2002|||||||
173|01/04/2002|||||||
173|10/02/2003|||||||
173|24/02/2004|||||||
173|15/03/2005|||||||
173|22/06/2007|||||||
174|01/04/2002|||||||
175|01/04/2002|||||||
176|01/04/2002|||||||
177|01/04/2002|||||||
178|01/04/2002|||||||
179|01/04/2002|||||||
180|01/04/2002|||||||
181|01/04/2002|||||||
182|01/04/2002|||||||
183|01/04/2002|||||||
184|01/04/2002|||||||
185|01/04/2002|||||||
186|01/04/2002|||||||
187|01/04/2002|||||||
188|01/04/2002|||||||
189|01/04/2002|||||||
189|03/02/2003|||||||
189|05/03/2004|||||||
189|19/02/2008|||||||
189|24/11/2006|||||||
189|14/03/2005|||||||
190|01/04/2002|||||||
191|01/04/2002|||||||
192|01/04/2002|||||||
193|01/04/2002|||||||
194|01/04/2002|||||||
195|01/04/2002|||||||
196|29/03/1987|||||||
196|01/03/2004|||||||
196|13/12/2002|||||||
196|20/02/2007|||||||
196|03/08/2005|||||||
196|05/03/2008|Bueno||||||
197|01/04/2002|||||||
198|01/04/2002|||||||
198|25/04/2003|||||||
198|25/07/2005|||||||
199|01/04/2002|||||||
200|01/04/2002|||||||
201|01/04/2002|||||||
201|01/03/2004|||||||
201|06/02/2003|||||||
201|02/03/2005|||||||
202|01/04/2002|||||||
203|01/04/2002|||||||
204|01/04/2002|||||||
205|01/04/2002|||||||
206|01/04/2002|||||||
206|27/02/2003|||||||
206|24/02/2004|||||||
207|01/04/2002|||||||
208|01/04/2002|||||||
209|01/04/2002|||||||
210|01/04/2002|||||||
211|01/04/2002|||||||
212|01/04/2002|||||||
213|01/04/2002|||||||
213|04/03/2003|||||||
213|20/03/2007|||||||
213|28/02/2006|||||||
214|01/04/2002|||||||
215|01/04/2002|||||||
216|01/04/2002|||||||
216|07/05/2004|||||||
216|17/12/2002|||||||
217|12/03/2003|||||||
217|01/04/2002|||||||
218|01/04/2002|||||||
219|01/04/2002|||||||
220|01/04/2002|||||||
221|01/04/2002|||||||
221|13/02/2003|||||||
221|07/12/2004|||||||
222|01/04/2002|||||||
223|01/04/2002|||||||
224|01/04/2002|||||||
225|01/04/2002|||||||
226|01/04/2002|||||||
227|01/04/2002|||||||
228|01/04/2002|||||||
229|01/04/2002|||||||
230|01/04/2002|||||||
231|01/04/2002|||||||
232|01/04/2002|||||||
233|01/04/2002|||||||
